Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1480000,1.418843,0.0,249.0,-0.010244174,0.0
1490000,1.418843,0.0,249.0,-0.0161508,0.0
1500000,1.4188429,0.0,249.0,-0.025977248,0.0
1510000,1.4188429,0.0,249.0,-0.014450835,0.0
1520000,1.4188429,0.0,249.0,-0.02894916,0.0
1530000,1.4188429,0.0,249.0,-0.015268509,0.0
1540000,1.4188429,0.0,249.0,-0.04149342,0.0
1550000,1.4188429,0.0,249.0,-0.009111813,0.0
1560000,1.4188429,0.024390243902439025,246.17073170731706,-0.033785857,0.024390243902439025
1570000,1.4188429,0.0,249.0,-0.017089184,0.0
1580000,1.4188429,0.0,249.0,-0.0357877,0.0
1590000,1.4188429,0.025,248.575,-0.008543554,0.025
1600000,1.418843,0.0,249.0,-0.013081637,0.0
1610000,1.418843,0.024390243902439025,242.9268292682927,-0.01794822,0.024390243902439025
1620000,1.4188429,0.0,249.0,-0.008898239,0.0
1630000,1.418843,0.0,249.0,-0.02803522,0.0
1640000,1.4188805,0.0,249.0,0.0045053363,0.0
1650000,1.4195331,0.025,245.2,-0.010934572,0.025
1660000,1.419533,0.0,249.0,-0.020130742,0.0
1670000,1.419533,0.0,249.0,-0.004747488,0.0
1680000,1.419533,0.0,249.0,-0.0036521577,0.0
1690000,1.4195331,0.024390243902439025,245.21951219512195,-0.00091464526,0.024390243902439025
1700000,1.419533,0.025,247.025,-0.008926438,0.025
1710000,1.419533,0.0,249.0,-0.033731464,0.0
1720000,1.4195331,0.025,248.075,-0.023491662,0.025
1730000,1.419533,0.024390243902439025,244.02439024390245,-0.0142503865,0.024390243902439025
