Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
66320000,0.85936505,0.4507042253521127,140.59154929577466,0.7590708,0.4647887323943662,0.001625373,0.06768089,1e-05
66330000,0.8589596,0.5066666666666667,130.85333333333332,0.76394933,0.49333333333333335,0.00254016,0.07482673,1e-05
66340000,0.8586572,0.5333333333333333,133.57333333333332,0.76697075,0.5333333333333333,0.0020822585,0.07793367,9.999998e-06
66350000,0.8586031,0.52,133.34666666666666,0.76933515,0.5333333333333333,0.0042668274,0.07797908,9.999998e-06
66360000,0.8583639,0.5,132.3108108108108,0.78358126,0.5,0.0025562649,0.08035832,9.999998e-06
66370000,0.85845107,0.5,130.14473684210526,0.76214737,0.4868421052631579,0.0038575951,0.07403904,9.999999e-06
66380000,0.8586793,0.5128205128205128,129.26923076923077,0.7740993,0.5256410256410257,0.002839073,0.07345502,9.999998e-06
66390000,0.85858953,0.5194805194805194,128.33766233766235,0.75783175,0.5194805194805194,0.0036030775,0.07624937,1e-05
66400000,0.85850453,0.4383561643835616,135.3835616438356,0.7561174,0.4383561643835616,0.004722723,0.06679908,9.999999e-06
66410000,0.8583432,0.5,134.54054054054055,0.7548292,0.5,0.001992358,0.074976645,9.999999e-06
66420000,0.8584088,0.4931506849315068,136.3835616438356,0.74053425,0.4931506849315068,0.0017204788,0.07682443,9.999998e-06
66430000,0.85829353,0.5342465753424658,134.46575342465752,0.7197121,0.5342465753424658,0.0020376435,0.074281305,9.999998e-06
66440000,0.858077,0.5333333333333333,132.30666666666667,0.7130286,0.52,0.0018499334,0.07827731,9.999998e-06
66450000,0.8579354,0.527027027027027,135.24324324324326,0.7237863,0.5405405405405406,0.001944154,0.072323516,9.999999e-06
66460000,0.8580699,0.4864864864864865,134.59459459459458,0.72339517,0.4864864864864865,0.0031055072,0.071128756,1e-05
66470000,0.85828793,0.4805194805194805,127.0909090909091,0.71842074,0.4805194805194805,0.004699012,0.07155211,9.999999e-06
66480000,0.85825974,0.4666666666666667,133.21333333333334,0.7062752,0.4533333333333333,0.003245449,0.07429959,9.999998e-06
66490000,0.8579835,0.5135135135135135,133.54054054054055,0.7074118,0.527027027027027,0.0029143293,0.07632565,1e-05
