Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
910000,1.4166889,0.03899999912828207,249.0,-0.09284289,0.038999995589256285
920000,1.4166889,0.0627499985974282,249.0,-0.07057037,0.06274999426677823
930000,1.4166889,0.0592499986756593,249.0,-0.10583359,0.00024999999441206456
940000,1.4166889,0.0014999999664723873,249.0,-0.03332157,0.06049999138340354
950000,1.4166888,0.057749998709186914,249.0,-0.06415751,0.057749993074685334
960000,1.4166889,0.0014999999664723873,249.0,-0.05575428,0.0014999999664723873
970000,1.4166889,0.0014999999664723873,249.0,-0.082889065,0.0014999999664723873
980000,1.4166889,0.0009999999776482583,249.0,-0.051077913,0.0009999999776482583
990000,1.4166889,0.05199999883770943,249.0,-0.07405742,0.051999999489635226
1000000,1.4166889,0.0004999999888241291,249.0,-0.06733215,0.0004999999888241291
1010000,1.4166889,0.056249998742714524,249.0,-0.08553862,0.05624998901039362
1020000,1.4166889,0.0,249.0,-0.08270289,0.0
1030000,1.4167593,0.0,249.0,-0.07299128,0.0
1040000,1.4168283,0.0009999999776482583,249.0,-0.1040287,0.0009999999776482583
1050000,1.4168283,0.0019999999552965165,249.0,-0.04838979,0.0019999999552965165
1060000,1.4168283,0.0009999999776482583,249.0,-0.076620504,0.0009999999776482583
1070000,1.4168283,0.0,249.0,-0.071129136,0.0
1080000,1.4168283,0.0004999999888241291,249.0,-0.053650446,0.0004999999888241291
1090000,1.4168283,0.0009999999776482583,249.0,-0.077803634,0.0009999999776482583
1100000,1.4168283,0.0004999999888241291,249.0,-0.05410848,0.0004999999888241291
1110000,1.4168283,0.0004999999888241291,249.0,-0.07067889,0.0004999999888241291
1120000,1.4168283,0.0009999999776482583,249.0,-0.07457979,0.0009999999776482583
1130000,1.4168283,0.0014999999664723873,249.0,-0.066000566,0.0014999999664723873
1140000,1.4168283,0.0004999999888241291,249.0,-0.10032594,0.0004999999888241291
1150000,1.4168283,0.05574999931268394,246.875,-0.08616962,0.055749994982033965
1160000,1.4168283,0.0009999999776482583,249.0,-0.09571284,0.0009999999776482583
1170000,1.4168283,0.0014999999664723873,249.0,-0.07870561,0.0014999999664723873
1180000,1.4168283,0.0019999999552965165,249.0,-0.08463691,0.0019999999552965165
1190000,1.4168282,0.0014999999664723873,249.0,-0.07346596,0.0014999999664723873
